content,label
两份协议汽车租赁协议增值税3%随征附加税财产租赁私车公用协议是否需要纳税签订运输服务协议租赁汽车需要租金收入缴纳增值税附加印花税描述私车公用情况分析私家车租赁公司使用这种情况取得租金收入情况缴纳税费提供车辆提供驾驶服务这种情况比较符合运输服务讨论运输资质提供运输服务缴纳增值税3%以外劳务报酬缴纳办理个体工商户登记个体工商户方法缴纳综上分析无论是车辆租赁公司使用提供交通运输服务缴纳相关规定主席令48第二条下列各项个人所得应纳工资薪金所得个体工商户生产经营所得企事业单位承包经营承租经营所得劳务报酬所得稿酬所得特许权使用费所得利息股息红利所得财产租赁所得财产转让所得偶然所得十一国务院财政部门确定征税所得,个人所得税
避个老师建议成立个人独资企业缴纳核定征收前提收入核定利润率计算应纳所得额现在税务部门不让核定征收只能收入应纳所得额费用产生新政不会减少个人独资企业优势目前来看个人独资企业实务确实存在账务健全情况可能一刀切允许核定征收个人独资企业行业限制地区前段时间娱乐圈事件引起税务机关注意加强部分个人独资企业监管一块个人独资企业优势确实不再行业地区并不一定统一硬性规定具体情况具体分析合规角度个人独资企业实行查账征收同样存在税收筹划空间业务投资者需要处理一种主体特有优势,个人所得税
筹建化工项目厂房宿舍生产装置附属设备工程材料发生支出前期费用研费评价勘察日后工程费支出材料费支出进项分批抵扣生产装置附属设备算是不动产分批抵扣前期费用整体项目发生支出是否分批抵扣公告201615规定需要分期抵扣会计制度固定资产核算不动产用于厂房宿舍生产装置附属设备不动产核算生产设备前期费用开工工程费费用支出通过在建工程项目核算在建工程实行分期抵扣取得发票当期60%1340%生产装置及其附属设备是否列入厂房不动产一起核算不动产把握标准通常厂房房屋一体不能移动移动设备失去使用功能贵司生产设备不动产核算分期抵扣没有不动产核算分期抵扣前期费用中若整体项目需要承担比例核算抵扣问题实务中贵司实际情况把握比例保证合情合理即可合规操能降低税务风险相关规定发布不动产进项税额分期抵扣暂行办法公告公告201615第二条增值税一般纳税人以下纳税人2016日后取得会计制度固定资产核算不动产2016日后发生不动产在建工程进项税额办法规定销项税额抵扣第一年抵扣比例60%第二年抵扣比例40%,增值税
使用费适用税率主席令85第三条第五款规定特许权使用费所得利息股息红利所得财产租赁所得财产转让所得偶然所得所得适用比例税率税率主席令200785第三条,个人所得税
税收协定缔约国一方居民提供专业性独立性活动取得所得征收方面一般征税规定印发两国政府避免双重征税协定文本做好执行准备通知国税函2006138第十四条规定第十四条独立劳务缔约国一方居民专业性劳务独立性活动取得所得应仅缔约国征税具有以下情况之一缔约国另一方征税缔约国另一方从事上述活动设有经常使用固定基地这种情况缔约国另一方属于固定基地所得征税纳税年度缔约国另一方停留连续累计达到超过一百八十三天这种情况缔约国另一方缔约国进行活动取得所得征税缔约国另一方从事活动取得缔约国另一方居民支付设立缔约国另一方常设机构固定基地负担报酬一个纳税年度超过三万美元等值中国沙特货币专业性劳务一语特别包括独立科学文学艺术教育教学活动医师律师工程师建筑师牙医师会计师独立活动国税函2006138印发两国政府避免双重征税协定文本做好执行准备通知,个人所得税
工资薪金所得计算减除费用主席令48第六条第一项规定工资薪金所得每月收入额减除费用三千五百元后余额纳税所得额第六条第三款规定中国境内住所中国境内取得工资薪金所得纳税义务人中国境内住所中国境外取得工资薪金所得纳税义务人平均收入水平生活水平汇率变化情况确定附加减除费用附加减除费用适用范围标准国务院规定实施条例600规定税法第六条第三款所说附加减除费用每月减除3500费用基础减除条例规定数额费用规定税法第六条第三款所说附加减除费用标准1300工资薪金所得费用扣除标准三千五百中国境内住所中国境内取得工资薪金所得纳税义务人中国境内住所中国境外取得工资薪金所得纳税义务人工资薪金所得费用扣除标准四千八百主席令201148,个人所得税
制成枕头鞋垫制品可否农产品初加工免税优惠增值税税率农产品10%抵扣描述使用乌拉草编织枕头鞋垫产品时使乌拉草状态发生改变属于深加工行为乌拉草编织成品销售不再属于农产品范畴属于一般货物享受农产品优惠税率16%贵司购进乌拉草用于生产枕头鞋垫产品贵司一般纳税人享受农产品加计扣除政策购进乌拉草用于生产12%扣除抵扣进项,增值税
企业收到借款利息收入开票年度汇算清缴处理同样非金融企业产生利息支出收到发票所得税扣除非金融企业取得利息收入开具发票开票收入计入收入总额计算缴纳企业所得税贵司实际支出利息费用发生当期取得发票预缴企业所得税暂按账面发生金额税前扣除汇算清缴需要补充提供相关凭证汇算清缴取得合法凭证不能发生当年税前扣除需要纳税调增处理汇算清缴以后取得发票税务机关专项申报追补费用发生年度扣除相关规定企业所得税若干问题公告公告201134企业提供有效凭证时间问题企业当年度实际发生相关成本费用各种原因未能及时取得成本费用有效凭证企业预缴季度所得税暂按账面发生金额进行核算汇算清缴补充提供成本费用有效凭证企业所得税纳税所得额若干税务处理问题公告公告201215以前年度发生应扣未扣支出税务处理问题税收征收管理法规定企业发现以前年度实际发生税收规定企业所得税扣除扣除扣除支出企业做出专项申报说明准予追补至该项目发生年度计算扣除追补确认期限不得超过企业上述原因多缴企业所得税税款追补确认年度企业所得税应纳税款抵扣不足抵扣以后年度递延抵扣申请退税亏损企业追补确认以前年度企业所得税扣除支出盈利企业追补确认出现亏损调整该项支出所属年度亏损额弥补亏损原则计算以后年度多缴企业所得税前款规定处理,企业所得税
新建厂房一栋主体建设工程消防工程水电工程电梯中央空调道路建设绿化工程围墙工程厂房装修工程车间洁净装修工程请问必须入到固定资产厂房原值长期待摊费用入账企业会计准则固定资产财会2006第九条规定自行建造固定资产成本建造该项资产达到预定使用状态发生必要支出构成描述理解贵司自建厂房主题建设工程消防工程水电工程电梯中央空调道路建设绿化工程围墙工程属于该项资产达到预定使用状态发生必要支出构成计入固定资产厂房原值厂房装修工程车间洁净装修工程属于后期装修维护计入长期待摊费用核算入账工程完工竣工结算单为时点竣工结算发生支出计入资产原值竣工结算发生支出建议通过长期待摊费用摊销,综合
企业集团登记证办理条件企业集团具备条件企业集团母公司核心企业注册资本5000万元人民币至少拥有子公司母公司核心企业子公司注册资本总和亿元人民币企业集团母公司核心企业登记有限责任公司股份有限公司全民所有制企业核心企业组建企业集团注册资金亿元人民币集团成员单位具有法人资格,综合
不动产经营租赁一次性收到租金当月确认收入收款当月确认收入确认国税函201079贯彻落实企业所得税法若干税收问题通知相关规定企业提供固定资产包装物有形资产使用权取得租金收入交易合同协议规定承租人应付租金日期确认收入实现交易合同协议规定租赁期限跨年度租金提前一次性支付实施条例第九条规定收入费用配比原则出租人上述确认收入租赁期分期均匀计入相关年度收入,增值税
期间利息收入进行账务处理年度汇算企业所得税是否确认收入企业筹建期间没有财务费用科目相关支出固定资产无形资产之外一概计入长期待摊费用开办费发生利息收入冲减长期待摊费用开办费税务处理外商投资企业外国企业所得税法实施细则规定开始获利年度企业开始生产经营第一个获得利润纳税年度企业筹建取得利息收入尚未开始生产经营当年获利年度确认收入外商投资企业外国企业所得税法实施细则,综合
公司经营属于经销公司业务需要经常地购大宗物料减少运输成本地以公司名义就近一个仓库客户物料直接仓库发货公司增值税销售发票请问老师这种做法符合相关法律规定描述理解公司仓库存放货物开具发票收取货款需要缴纳增值税判断公司存在销售税务机关认定该地发生销售需在缴纳增值税风险建议咨询税务机关是否需要办理报告外出经营事项以下相关规定结合业务情况进行判断相关规定增值税暂行条例2017修订691增值税纳税地点固定业户应当机构所在地主管税务机关申报纳税机构分支机构同一应当所在地主管税务机关申报纳税国务院财政税务主管部门授权财政税务机关批准机构汇总机构所在地主管税务机关申报纳税固定业户外县销售货物劳务应当机构所在地主管税务机关报告外出经营事项机构所在地主管税务机关申报纳税报告应当销售劳务发生地主管税务机关申报纳税未向销售劳务发生地主管税务机关申报纳税机构所在地主管税务机关补征税款企业所属机构移送货物征收增值税问题通知国税发1998137目前实行统一核算企业所属机构移送货物接受移送货物机构以下简称受货机构经营活动是否属于销售纳税各地执行研究明确增值税暂行条例实施细则第四条视同销售货物行为项所称用于销售指受机构发生以下情形之一经营行为购货开具发票购货收取货款受货机构货物移送行为上述两项情形之一应当所在地税务机关缴纳增值税发生上述两项情形机构统一缴纳增值税受货机构部分货物购买方开具发票收取货款应当区别不同情况计算机构所在地分支机构所在地缴纳税款全面推开营业税改征增值税试点通知财税201636第四十六增值税纳税地点固定业户应当机构所在地居住地主管税务机关申报纳税机构分支机构同一应当所在地主管税务机关申报纳税财政部授权财政税务机关批准机构汇总机构所在地主管税务机关申报纳税,增值税
公司企业所得税计算营业利润资本化利息扣除企业所得税法第八条规定企业实际发生取得收入合理支出包括成本费用税金损失其他支出准予计算纳税所得额扣除贵司资本化利息费用生产经营活动真实合理税前扣除税前扣除部分符合企业所得税法实施条例规定超过金融企业同期同类贷款利率计算数额部分税前扣除超过部分需要调增处理相关规定企业所得税法第四十六企业关联方接受债权投资权益投资比例超过规定标准发生利息支出不得计算纳税所得额扣除企业所得税法实施条例企业生产经营活动发生下列利息支出准予扣除非金融企业金融企业借款利息支出金融企业各项存款利息支出同业拆借利息支出企业批准发行债券利息支出非金融企业非金融企业借款利息支出超过金融企业同期同类贷款利率计算数额部分,企业所得税
企业直接冲减进项商业企业货物供应方收取部分费用征收流转税问题通知国税发2004136规定商业企业供货收取商品销售量销售额挂钩一定比例金额数量计算各种返还收入平销返利行为规定冲减当期增值税进项税金征收营业税应冲减进项税金计算公式调整当期应冲减进项税金当期取得返还资金所购货物适用增值税税率所购货物适用增值税税率商业企业货物供应方收取部分费用征收流转税问题通知国税发2004136规定商业企业供货收取各种收入一律不得开具增值税专用发票,增值税
林木产品初加工享受企业所得税优惠政策财政部发布享受企业所得税优惠政策农产品初加工范围试行通知财税2008149规定种植业林木产品初加工通过乔木活立木去皮锯段简单加工处理制成原木原竹锯材财税2008149财政部发布享受企业所得税优惠政策农产品初加工范围试行通知,企业所得税
设备一次性费用所得税汇算清缴时要不要调增固定资产加速折旧税收政策问题公告公告201464第二条企业2014日后购进专门用于研发活动仪器设备单位价值超过100万元一次性计算纳税所得额扣除单位价值超过100万元允许低于企业所得税法规定折旧年限60%缩短折旧年限选择采取双倍余额递减年数总和进行加速折旧贵司购入研发设备单位价值超过100万元一次性费用进行纳税所得额扣除不用进行调增单价超过100万元允许一次性费用允许折旧年限缩短加速折旧超过当年度相应折旧数额部分进行调增,企业所得税
加计扣除研发费用人工费用直接从事研发工作人员财政部科技部完善研究开发费用税前加计扣除政策通知财税2015119规定企业开展研发活动实际发生研发费用形成无形资产计入当期损益按规定据实扣除基础本年度实际发生额50%本年度纳税所得额扣除形成无形资产无形资产成本150%税前摊销研发费用具体范围包括人员人工费用直接从事研发活动人员工资薪金基本基本医疗保险失业保险费工伤保险生育保险费住房公积金外聘研发人员劳务费用申报加计扣除研发费用人工费用企业发生符合财税2015119规定人员人工费用加计扣除高新技术企业发生人员人工费用加计扣除贵司满足研发费用加计扣除条件即可需要考虑高新技术企业认定条件,综合
纳税申报表适用所得12万元纳税人申报是否进行修改修改所得12万元自行纳税申报表通知国税函20071087规定进一步做好所得12万元纳税人自行纳税申报工作提高申报质量数据采用税务总局印发自行纳税申报办法试行通知国税发2006162附件纳税申报表适用所得12万元纳税人申报进行修订现将修订申报表附件印发2008日起所得12万元纳税人使用修订申报表进行申报国税函20071087修改所得12万元自行纳税申报表通知,个人所得税
付款方式预付30%款到发货签订销售订单100台货前此单有部分到款部分发货这部分已经发货货物需要缴纳增值税整单交货收款再交增值税增值税暂行条例实施细则第三项相关规定采取赊销分期收款方式销售货物增值税纳税义务发生时间书面合同约定收款日期当天书面合同书面合同没有约定收款日期增值税纳税义务发生时间货物发出当天也就是说前发合同收款日期以此收款日期当天增值税纳税义务发生时间缴纳增值税没有约定收款日期应该发货当天确认增值税纳税义务发生时间申报缴纳增值税,增值税
